Date,Price
2008/3/1,1265.147368
2008/4/1,1307.127273
2008/5/1,1253.41875
2008/6/1,1243.8
2008/7/1,1261.053261
2008/8/1,1145.07
2008/9/1,1046.267045
2008/10/1,734.2336957
2008/11/1,559.378125
2008/12/1,465.7642857
2009/1/1,489.0535714
2009/2/1,499.261875
2009/3/1,565.63125
2009/4/1,665.53875
2009/5/1,688.7190789
2009/6/1,752.3147727
2009/7/1,784.2619565
2009/8/1,926.53125
2009/9/1,929.3625
2009/10/1,945.8982955
2009/11/1,1002.366071
2009/12/1,1046.546429
2010/1/1,1105.10625
2010/2/1,1030.15125
2010/3/1,1120.040217
2010/4/1,1159.475625
2010/5/1,1026.473684
2010/6/1,975.225
2010/7/1,1012.585227
2010/8/1,1095.4
2010/9/1,1159.438636
2010/10/1,1243.464286
2010/11/1,1268.763068
2010/12/1,1372.928571
2011/1/1,1429.98
2011/2/1,1482.140625
2011/3/1,1425.503804
2011/4/1,1422.4125
2011/5/1,1339.75125
2011/6/1,1360.027841
2011/7/1,1447.569643
2011/8/1,1349.698295
2011/9/1,1245.020455
2011/10/1,1109.128571
2011/11/1,1137.153409
2011/12/1,1133.83125
2012/1/1,1209.2875
2012/2/1,1266.223214
2012/3/1,1270.617614
2012/4/1,1242.828947
2012/5/1,1184.536364
2012/6/1,1114.243421
2012/7/1,1137.639205
2012/8/1,1126.564773
2012/9/1,1213.161375
2012/10/1,1209.304891
2012/11/1,1156.684091
2012/12/1,1194.973026
2013/1/1,1208.060795
2013/2/1,1209.13875
2013/3/1,1147.85625
2013/4/1,1083.174286
2013/5/1,1087.307143
2013/6/1,1050.035625
2013/7/1,1035.996196
2013/8/1,1077.9375
2013/9/1,1073.890357
2013/10/1,1080.453261
2013/11/1,1060.598214
2013/12/1,1082.235
2014/1/1,1093.719886
2014/2/1,1072.381875
2014/3/1,997.5053571
2014/4/1,1001.034375
2014/5/1,1033.66875
2014/6/1,1023.171429
2014/7/1,1067.007065
2014/8/1,1050.275625
2014/9/1,1030.832386
2014/10/1,1010.621739
2014/11/1,1006.9275
2014/12/1,966.9678571
2015/1/1,874.5803571
2015/2/1,859.39125
2015/3/1,890.9505682
2015/4/1,906.313125
2015/5/1,944.2164474
2015/6/1,874.9517045
2015/7/1,818.5125
2015/8/1,769.095
2015/9/1,782.5875
2015/10/1,782.4136364
2015/11/1,719.9857143
2015/12/1,695.825
2016/1/1,670.768125
2016/2/1,689.7928571
2016/3/1,743.0696429
2016/4/1,730.9107143
2016/5/1,704.180625
2016/6/1,696.2948864
2016/7/1,729.7357143
2016/8/1,712.7505682
2016/9/1,708.3306818
2016/10/1,709.6892857
2016/11/1,817.6397727
2016/12/1,849.0525
2017/1/1,863.1839286
2017/2/1,891.136875
2017/3/1,873.6945652
2017/4/1,852.5854167
2017/5/1,839.9339286
2017/6/1,857.9642045
2017/7/1,897.7678571
2017/8/1,972.84375
2017/9/1,986.575
2017/10/1,1021.140341
2017/11/1,1023.981818
2017/12/1,1025.084211
2018/1/1,1059.877841
2018/2/1,1050.97875
2018/3/1,1019.876786
2018/4/1,1027.726875
2018/5/1,1023.791071
2018/6/1,1044.878571
2018/7/1,937.6125
2018/8/1,907.6568182
2018/9/1,907.614375
2018/10/1,932.9380435
2018/11/1,929.3880682
2018/12/1,911.2973684
2019/1/1,890.8653409
2019/2/1,945.073125
2019/3/1,965.9196429
2019/4/1,965.754375
2019/5/1,902.6857143
2019/6/1,882.33375
2019/7/1,891.1793478
2019/8/1,856.4160714
2019/9/1,863.8875
2019/10/1,863.5946739
2019/11/1,878.9928571
2019/12/1,911.559375
2020/1/1,904.6813636
2020/2/1,853.1625
2020/3/1,777.3947727
2020/4/1,758.6958
2020/5/1,785.9739474
2020/6/1,863.1893182
2020/7/1,955.8691304
2020/8/1,976.2589286
2020/9/1,1005.735
2020/10/1,1007.071705
2020/11/1,1060.336071
2020/12/1,1165.835714
2021/1/1,1195.822125
2021/2/1,1270.641
2021/3/1,1348.237174
2021/4/1,1398.722625
2021/5/1,1524.94275
2021/6/1,1444.725
2021/7/1,1417.623068
2021/8/1,1405.520786
2021/9/1,1398.706432
2021/10/1,1474.382857
2021/11/1,1459.335682
2021/12/1,1432.677
2022/1/1,1467.350625
2022/2/1,1491.47625
2022/3/1,1534.634087
2022/4/1,1526.152143
2022/5/1,1409.254091
2022/6/1,1360.132773
2022/7/1,1131.721429
2022/8/1,1198.621826
2022/9/1,1161.901705
2022/10/1,1147.662429
2022/11/1,1207.479205
2022/12/1,1255.663705
