Date,Price
2008/7/1,460.1184783
2008/8/1,414.384
2008/9/1,378.6221591
2008/10/1,318.3042391
2008/11/1,278.5695
2008/12/1,225.6625
2009/1/1,213.0539286
2009/2/1,200.709375
2009/3/1,200.7119318
2009/4/1,214.771875
2009/5/1,220.0006579
2009/6/1,236.9440909
2009/7/1,250.5834783
2009/8/1,289.145625
2009/9/1,275.3396591
2009/10/1,281.3495455
2009/11/1,293.4821429
2009/12/1,327.1885714
2010/1/1,334.516875
2010/2/1,307.9905
2010/3/1,331.5795652
2010/4/1,347.141625
2010/5/1,306.7065789
2010/6/1,289.4113636
2010/7/1,298.3568182
2010/8/1,316.5660714
2010/9/1,325.6864773
2010/10/1,351.3267857
2010/11/1,348.6068182
2010/12/1,353.5003571
2011/1/1,365.955
2011/2/1,377.289
2011/3/1,383.325
2011/4/1,400.1125
2011/5/1,388.081875
2011/6/1,383.6642045
2011/7/1,378.8142857
2011/8/1,357.14625
2011/9/1,344.0192045
2011/10/1,327.0971429
2011/11/1,311.9972727
2011/12/1,303.65625
2012/1/1,322.7
2012/2/1,331.1875
2012/3/1,327.6238636
2012/4/1,307.2757895
2012/5/1,300.3784091
2012/6/1,282.8269737
2012/7/1,281.4375
2012/8/1,276.4990909
2012/9/1,309.618
2012/10/1,296.1456522
2012/11/1,292.3244318
2012/12/1,313.0144737
2013/1/1,305.6410227
2013/2/1,308.03925
2013/3/1,286.692375
2013/4/1,279.1535714
2013/5/1,274.8857143
2013/6/1,272.180625
2013/7/1,265.4413043
2013/8/1,272.4353571
2013/9/1,264.1957143
2013/10/1,272.1873913
2013/11/1,262.1946429
2013/12/1,260.9715
2014/1/1,259.1117045
2014/2/1,254.27475
2014/3/1,255.805
2014/4/1,271.60125
2014/5/1,262.6575
2014/6/1,275.8428571
2014/7/1,292.2456522
2014/8/1,304.573875
2014/9/1,298.5647727
2014/10/1,291.9283696
2014/11/1,308.33325
2014/12/1,286.4189286
2015/1/1,272.2078571
2015/2/1,272.673
2015/3/1,266.0795455
2015/4/1,272.878125
2015/5/1,270.6059211
2015/6/1,253.1590909
2015/7/1,245.925
2015/8/1,232.21875
2015/9/1,238.4403409
2015/10/1,227.4732955
2015/11/1,220.1839286
2015/12/1,224.5803571
2016/1/1,222.165
2016/2/1,229.6892857
2016/3/1,229.6517857
2016/4/1,235.6839286
2016/5/1,232.59375
2016/6/1,239.0260227
2016/7/1,244.3571429
2016/8/1,245.8926136
2016/9/1,238.8545455
2016/10/1,249.8857143
2016/11/1,260.5670455
2016/12/1,259.160625
2017/1/1,268.6857143
2017/2/1,279.1125
2017/3/1,285.2201087
2017/4/1,288.1833333
2017/5/1,286.9535714
2017/6/1,282.7929545
2017/7/1,285.4446429
2017/8/1,304.5017045
2017/9/1,314.4732143
2017/10/1,319.7232955
2017/11/1,314.6161364
2017/12/1,312.0710526
2018/1/1,331.4590909
2018/2/1,327.268125
2018/3/1,310.3857143
2018/4/1,338.203125
2018/5/1,344.95
2018/6/1,335.6428571
2018/7/1,312.3357955
2018/8/1,307.7267045
2018/9/1,303.969375
2018/10/1,304.4788043
2018/11/1,290.7767045
2018/12/1,288.0572368
2019/1/1,278.0573864
2019/2/1,279.448125
2019/3/1,280.6821429
2019/4/1,276.81375
2019/5/1,267.1892857
2019/6/1,263.3925
2019/7/1,269.5483696
2019/8/1,261.1017857
2019/9/1,263.0267857
2019/10/1,258.8934783
2019/11/1,266.2178571
2019/12/1,265.707
2020/1/1,265.9636364
2020/2/1,253.21425
2020/3/1,241.6336364
2020/4/1,218.990175
2020/5/1,219.9557368
2020/6/1,235.2855682
2020/7/1,246.5718261
2020/8/1,260.7832857
2020/9/1,261.5661818
2020/10/1,270.9152727
2020/11/1,290.2925
2020/12/1,302.2007857
2021/1/1,300.596325
2021/2/1,311.789025
2021/3/1,328.5723913
2021/4/1,347.908875
2021/5/1,365.216475
2021/6/1,366.9968182
2021/7/1,374.6453182
2021/8/1,390.4487857
2021/9/1,425.1835227
2021/10/1,440.1590714
2021/11/1,395.4678409
2021/12/1,404.3297143
2022/1/1,450.897075
2022/2/1,486.867825
2022/3/1,524.7559565
2022/4/1,487.0485714
2022/5/1,425.9258182
2022/6/1,386.3504318
2022/7/1,361.2635
2022/8/1,365.087413
2022/9/1,333.7133864
2022/10/1,338.3302857
2022/11/1,352.6074545
2022/12/1,359.7310227
2023/1/1,374.2351364
2023/2/1,362.427225
2023/3/1,344.4625435
2023/4/1,350.71965
2023/5/1,341.1018913
2023/6/1,327.7130455
2023/7/1,323.9598571
2023/8/1,320.3372609
2023/9/1,327.7010714
2023/10/1,329.1586364
2023/11/1,330.3383182
2023/12/1,328.8007857
2024/1/1,330.2349783
2024/2/1,326.9185714
2024/3/1,334.4162857
2024/4/1,374.8842273
2024/5/1,384.9478043
2024/6/1,374.640825
2024/7/1,352.3687826
2024/8/1,352.8700909
2024/9/1,368.6217143
2024/10/1,389.3374565
2024/11/1,387.3282857
2024/12/1,381.1323409
2025/1/1,385.7055652
2025/2/1,398.365875
2025/3/1,397.7397857
2025/4/1,355.1700682
2025/5/1,367.1016136
2025/6/1,378.8938571
